orb_radius,period
0.087,9.939632000000001
0.128,17.738506
0.09,9.926746000000001
0.15,21.2234
0.106,11.38848
0.28600000000000003,50.697494
0.032,2.0922810000000003
0.131,17.308032
0.275,52.814972999999995
0.077,8.307872
0.19699999999999998,34.096863
0.138,20.739886
0.24,47.427737
0.06,5.599308000000001
0.09,10.349695
0.11900000000000001,15.677563000000001
0.16399999999999998,25.209715
0.131,17.790036999999998
0.259,49.567415999999994
0.158,23.637604
0.316,67.093408
0.0463,3.69611525
0.0949,10.85409089
0.3506,77.61130017
0.0639,6.09852281
0.1396,19.57758478
0.2055,34.94
0.08,8.594805000000001
0.09,10.222157000000001
0.175,25.672082999999997
0.573,151.884058
0.045,4.069426999999999
0.113,16.282493
0.043,3.162697
0.061,5.370647
0.1,11.32972
0.11699999999999999,14.400974
0.17300000000000001,25.660593
0.032,2.75564
0.122,20.306546
0.078,7.781986999999999
0.111,13.137471
0.163,23.44281
0.028999999999999998,1.6118649999999999
0.044000000000000004,3.071571
0.068,5.868075
0.054000000000000006,4.22864
0.079,7.466622999999999
0.10300000000000001,11.131786
0.132,16.259458
0.122,16.087845
0.231,41.749882
0.042717000000000005,2.78578
0.032,2.453234
0.07,7.972513
0.048,4.138575
0.062,6.04045
0.133,16.257582
0.207,31.805173999999997
0.036000000000000004,2.46236
0.057,4.822962
0.13,15.660544
0.19399999999999998,28.7798
0.084,9.360672000000001
0.113,14.667107999999999
0.185,30.864423
0.314,68.16101
0.079,7.693641
0.136,17.406669
0.065,5.374943
0.08900000000000001,8.586003999999999
0.046,3.6193370000000002
0.248,44.699576
0.057,4.5855120000000005
0.165,22.714613
0.272,47.903645000000004
0.8490000000000001,289.8623
0.046,4.159807
0.076,9.034199000000001
0.163,28.122396999999996
0.226,45.902733000000005
0.037000000000000005,2.795906
0.059000000000000004,5.690586
0.087,10.04156
0.13,18.369917
0.048,3.936981
0.091,10.08881
0.18,28.081912
0.038,3.132924
0.057999999999999996,5.925003
0.08900000000000001,11.349393
0.124,18.643577
0.055999999999999994,6.738975
0.111,18.794234
0.047,3.9409970000000003
0.057999999999999996,5.3495550000000005
0.076,8.109044
0.09,9.488014999999999
0.29,54.418693999999995
0.038,2.5665459999999998
0.052000000000000005,4.134444
0.10099999999999999,11.094286
0.062,6.252972
0.11699999999999999,16.068638
0.22,41.194912
0.075,7.1073
0.099,10.7421
0.124,15.274299
0.191,32.625555
0.38,91.77324200000001
0.07400000000000001,10.065275
0.114,19.271566
0.054000000000000006,4.431222
0.10099999999999999,11.379349000000001
0.077,8.472382000000001
0.287,60.418955000000004
